age_d;age_h;T;H_a;Cpm;psi_x;rho
10;10;13.4;36;0.292433537832309;-7.97295567804286;308.157410792231
10;11;13.9;31;0.391539850301948;-9.6420879318579;307.896193020203
10;12;14.4;31;0.467586798538975;-10.9228581567163;307.634975248175
10;13;15.2;27;0.515391908694564;-11.7279839783668;307.373757476147
10;14;15.5;28;0.531697341513292;-12.0025974025974;307.112539704119
10;15;15.6;27;0.515391908694564;-11.7279839783668;306.851321932091
10;16;15.6;29;0.467586798538976;-10.9228581567163;306.590104160062
10;17;14.7;30;0.391539850301946;-9.64208793185785;306.328886388034
10;18;13.6;32;0.292433537832311;-7.97295567804289;306.067668616006
10;19;11.4;38;0.177021792543948;-6.02920999999735;305.806450843978
10;20;9.4;47;0.0531697341513292;-3.94331395348837;305.54523307195
10;21;8.4;49;0.0531697341513292;-3.94331395348837;305.284015299921
10;22;7.6;53;0.0531697341513292;-3.94331395348837;305.022797527893
10;23;6.7;59;0.0531697341513292;-3.94331395348837;304.761579755865
10;24;5.6;65;0.0531697341513292;-3.94331395348837;304.500361983837
11;1;5.6;66;0.0531697341513292;-3.94331395348837;304.239144211809
11;2;5.1;69;0.0531697341513292;-3.94331395348837;303.97792643978
11;3;5.4;66;0.0531697341513292;-3.94331395348837;303.716708667752
11;4;5.3;67;0.0531697341513292;-3.94331395348837;303.455490895724
11;5;4.3;72;0.0531697341513292;-3.94331395348837;303.194273123696
11;6;6.1;67;0.0531697341513292;-3.94331395348837;302.933055351668
11;7;8.4;58;0.0531697341513292;-3.94331395348837;302.671837579639
11;8;11.1;47;0.0531697341513312;-3.9433139534884;302.410619807611
11;9;13;37;0.177021792543947;-6.02920999999732;302.149402035583
11;10;13.5;36;0.292433537832309;-7.97295567804286;301.888184263555
11;11;14.8;34;0.391539850301948;-9.6420879318579;301.626966491527
11;12;15.8;41;0.467586798538975;-10.9228581567163;301.365748719499
11;13;16.8;29;0.515391908694564;-11.7279839783668;301.10453094747
11;14;18;29;0.531697341513292;-12.0025974025974;300.843313175442
11;15;18.8;28;0.515391908694564;-11.7279839783668;300.582095403414
11;16;18.6;27;0.467586798538976;-10.9228581567163;300.320877631386
11;17;18.6;26;0.391539850301946;-9.64208793185785;300.059659859358
11;18;17.4;30;0.292433537832311;-7.97295567804289;299.798442087329
11;19;12.8;43;0.177021792543948;-6.02920999999735;299.537224315301
11;20;11.5;47;0.0531697341513292;-3.94331395348837;299.276006543273
11;21;11.4;45;0.0531697341513292;-3.94331395348837;299.014788771245
11;22;10.7;56;0.0531697341513292;-3.94331395348837;298.753570999217
11;23;10.8;56;0.0531697341513292;-3.94331395348837;298.492353227189
11;24;10;60;0.0531697341513292;-3.94331395348837;298.23113545516
12;1;9.6;61;0.0531697341513292;-3.94331395348837;297.969917683132
12;2;9.1;65;0.0531697341513292;-3.94331395348837;297.708699911104
12;3;7.8;73;0.0531697341513292;-3.94331395348837;297.447482139076
12;4;6.6;81;0.0531697341513292;-3.94331395348837;297.186264367048
12;5;6.5;79;0.0531697341513292;-3.94331395348837;296.925046595019
12;6;8.5;71;0.0531697341513292;-3.94331395348837;296.663828822991
12;7;9.3;68;0.0531697341513292;-3.94331395348837;296.402611050963
12;8;11;67;0.0531697341513312;-3.9433139534884;296.141393278935
12;9;12.1;65;0.177021792543947;-6.02920999999732;295.880175506907
12;10;13;57;0.292433537832309;-7.97295567804286;295.618957734878
12;11;12.8;58;0.391539850301948;-9.6420879318579;295.35773996285
12;12;12.8;62;0.467586798538975;-10.9228581567163;295.096522190822
12;13;10.3;65;0.515391908694564;-11.7279839783668;294.835304418794
12;14;8.3;79;0.531697341513292;-12.0025974025974;294.574086646766
12;15;8.8;85;0.515391908694564;-11.7279839783668;294.312868874737
12;16;10.6;73;0.467586798538976;-10.9228581567163;294.051651102709
12;17;10.2;73;0.391539850301946;-9.64208793185785;293.790433330681
12;18;9.1;80;0.292433537832311;-7.97295567804289;293.529215558653
12;19;7.3;83;0.177021792543948;-6.02920999999735;293.267997786625
12;20;7.1;84;0.0531697341513292;-3.94331395348837;293.006780014597
12;21;7.2;88;0.0531697341513292;-3.94331395348837;292.745562242568
12;22;7.1;88;0.0531697341513292;-3.94331395348837;292.48434447054
12;23;7;81;0.0531697341513292;-3.94331395348837;292.223126698512
12;24;6.6;76;0.0531697341513292;-3.94331395348837;291.961908926484
13;1;6.4;77;0.0531697341513292;-3.94331395348837;291.700691154456
13;2;5.8;82;0.0531697341513292;-3.94331395348837;291.439473382427
13;3;5.3;85;0.0531697341513292;-3.94331395348837;291.178255610399
13;4;5.3;87;0.0531697341513292;-3.94331395348837;290.917037838371
13;5;5.4;87;0.0531697341513292;-3.94331395348837;290.655820066343
13;6;5.7;87;0.0531697341513292;-3.94331395348837;290.394602294315
13;7;5.8;85;0.0531697341513292;-3.94331395348837;290.133384522286
13;8;6;85;0.0531697341513312;-3.9433139534884;289.872166750258
13;9;6.4;85;0.177021792543947;-6.02920999999732;289.61094897823
13;10;6.5;82;0.292433537832309;-7.97295567804286;289.349731206202
13;11;6.3;82;0.391539850301948;-9.6420879318579;289.088513434174
13;12;6.6;77;0.467586798538975;-10.9228581567163;288.827295662146
13;13;6.3;80;0.515391908694564;-11.7279839783668;288.566077890117
13;14;6.5;80;0.531697341513292;-12.0025974025974;288.304860118089
13;15;6.5;81;0.515391908694564;-11.7279839783668;288.043642346061
13;16;6.3;82;0.467586798538976;-10.9228581567163;287.782424574033
13;17;6.2;83;0.391539850301946;-9.64208793185785;287.521206802005
13;18;6.3;83;0.292433537832311;-7.97295567804289;287.259989029976
13;19;6.6;81;0.177021792543948;-6.02920999999735;286.998771257948
13;20;6.9;80;0.0531697341513292;-3.94331395348837;286.73755348592
13;21;7.1;79;0.0531697341513292;-3.94331395348837;286.476335713892
13;22;7.3;77;0.0531697341513292;-3.94331395348837;286.215117941864
13;23;7.5;76;0.0531697341513292;-3.94331395348837;285.953900169835
13;24;7.3;78;0.0531697341513292;-3.94331395348837;285.692682397807
14;1;7.5;76;0.0531697341513292;-3.94331395348837;285.431464625779
14;2;8.2;72;0.0531697341513292;-3.94331395348837;285.170246853751
14;3;8.3;73;0.0531697341513292;-3.94331395348837;284.909029081723
14;4;8.7;73;0.0531697341513292;-3.94331395348837;284.647811309695
14;5;9.4;72;0.0531697341513292;-3.94331395348837;284.386593537666
14;6;9.4;72;0.0531697341513292;-3.94331395348837;284.125375765638
14;7;9.5;71;0.0531697341513292;-3.94331395348837;283.86415799361
14;8;9.7;71;0.0531697341513312;-3.9433139534884;283.602940221582
14;9;10.9;71;0.177021792543947;-6.02920999999732;283.341722449554
14;10;12.1;69;0.292433537832309;-7.97295567804286;283.080504677525
14;11;13.1;65;0.391539850301948;-9.6420879318579;282.819286905497
14;12;13.9;68;0.467586798538975;-10.9228581567163;282.558069133469
14;13;13.4;73;0.515391908694564;-11.7279839783668;282.296851361441
14;14;14.6;70;0.531697341513292;-12.0025974025974;282.035633589413
14;15;15.7;66;0.515391908694564;-11.7279839783668;281.774415817384
14;16;16.7;61;0.467586798538976;-10.9228581567163;281.513198045356
14;17;17.3;45;0.391539850301946;-9.64208793185785;281.251980273328
14;18;16.6;45;0.292433537832311;-7.97295567804289;280.9907625013
14;19;16.1;47;0.177021792543948;-6.02920999999735;280.729544729272
14;20;15.3;55;0.0531697341513292;-3.94331395348837;280.468326957244
14;21;14.7;54;0.0531697341513292;-3.94331395348837;280.207109185215
14;22;14.1;55;0.0531697341513292;-3.94331395348837;279.945891413187
14;23;13.2;57;0.0531697341513292;-3.94331395348837;279.684673641159
14;24;11.6;63;0.0531697341513292;-3.94331395348837;279.423455869131
15;1;11.1;66;0.0531697341513292;-3.94331395348837;279.162238097103
15;2;10.1;69;0.0531697341513292;-3.94331395348837;278.901020325074
15;3;9.3;69;0.0531697341513292;-3.94331395348837;278.639802553046
15;4;9;68;0.0531697341513292;-3.94331395348837;278.378584781018
15;5;9;68;0.0531697341513292;-3.94331395348837;278.11736700899
15;6;10.4;64;0.0531697341513292;-3.94331395348837;277.856149236962
15;7;12.3;60;0.0531697341513292;-3.94331395348837;277.594931464933
15;8;14.7;53;0.0531697341513312;-3.9433139534884;277.333713692905
15;9;16.1;51;0.177021792543947;-6.02920999999732;277.072495920877
15;10;16.2;55;0.292433537832309;-7.97295567804286;276.811278148849
15;11;16.3;52;0.391539850301948;-9.6420879318579;276.550060376821
15;12;16.9;53;0.467586798538975;-10.9228581567163;276.288842604793
15;13;17.5;49;0.515391908694564;-11.7279839783668;276.027624832764
15;14;17.3;47;0.531697341513292;-12.0025974025974;275.766407060736
15;15;15.6;51;0.515391908694564;-11.7279839783668;275.505189288708
15;16;16.7;50;0.467586798538976;-10.9228581567163;275.24397151668
15;17;16.6;49;0.391539850301946;-9.64208793185785;274.982753744652
15;18;14.7;51;0.292433537832311;-7.97295567804289;274.721535972623
15;19;13.1;47;0.177021792543948;-6.02920999999735;274.460318200595
15;20;12.2;51;0.0531697341513292;-3.94331395348837;274.199100428567
15;21;11;55;0.0531697341513292;-3.94331395348837;273.937882656539
15;22;10.3;58;0.0531697341513292;-3.94331395348837;273.676664884511
15;23;9.6;60;0.0531697341513292;-3.94331395348837;273.415447112482
15;24;9.2;60;0.0531697341513292;-3.94331395348837;273.154229340454
16;1;8.8;63;0.0531697341513292;-3.94331395348837;272.893011568426
16;2;8.3;66;0.0531697341513292;-3.94331395348837;272.631793796398
16;3;7.6;70;0.0531697341513292;-3.94331395348837;272.37057602437
16;4;7.6;69;0.0531697341513292;-3.94331395348837;272.109358252342
16;5;7.9;68;0.0531697341513292;-3.94331395348837;271.848140480313
16;6;8.8;64;0.0531697341513292;-3.94331395348837;271.586922708285
16;7;10;60;0.0531697341513292;-3.94331395348837;271.325704936257
16;8;11.6;56;0.0531697341513292;-3.94331395348837;271.064487164229
16;9;13.4;52;0.177021792543947;-6.02920999999732;270.803269392201
16;10;15.2;42;0.292433537832314;-7.97295567804294;270.542051620172
16;11;16.2;40;0.391539850301945;-9.64208793185783;270.280833848144
16;12;17.2;38;0.467586798538975;-10.9228581567163;270.019616076116
16;13;18.6;36;0.515391908694565;-11.7279839783668;269.758398304088
16;14;19.1;37;0.531697341513292;-12.0025974025974;269.49718053206
16;15;19.6;36;0.515391908694564;-11.7279839783668;269.235962760031
16;16;19.2;38;0.467586798538973;-10.9228581567162;268.974744988003
16;17;18.8;37;0.39153985030195;-9.64208793185792;268.713527215975
16;18;17.8;38;0.292433537832311;-7.97295567804289;268.452309443947
16;19;15.6;44;0.177021792543943;-6.02920999999726;268.191091671919
16;20;13.4;51;0.0531697341513329;-3.94331395348843;267.929873899891
16;21;12.5;53;0.0531697341513292;-3.94331395348837;267.668656127862
16;22;12;51;0.0531697341513292;-3.94331395348837;267.407438355834
16;23;10.7;51;0.0531697341513292;-3.94331395348837;267.146220583806
16;24;10.1;52;0.0531697341513292;-3.94331395348837;266.885002811778
17;1;9.1;57;0.0531697341513292;-3.94331395348837;266.62378503975
17;2;9.1;57;0.0531697341513292;-3.94331395348837;266.362567267721
17;3;9.1;56;0.0531697341513292;-3.94331395348837;266.101349495693
17;4;7.3;66;0.0531697341513292;-3.94331395348837;265.840131723665
17;5;8;64;0.0531697341513292;-3.94331395348837;265.578913951637
17;6;9.9;59;0.0531697341513292;-3.94331395348837;265.317696179609
17;7;11.8;54;0.0531697341513292;-3.94331395348837;265.05647840758
17;8;13.8;49;0.0531697341513292;-3.94331395348837;264.795260635552
17;9;15.2;42;0.177021792543947;-6.02920999999732;264.534042863524
17;10;16.7;41;0.292433537832314;-7.97295567804294;264.272825091496
17;11;18.5;37;0.391539850301945;-9.64208793185783;264.011607319468
17;12;20.8;35;0.467586798538975;-10.9228581567163;263.75038954744
17;13;22.1;32;0.515391908694565;-11.7279839783668;263.489171775411
17;14;22.7;29;0.531697341513292;-12.0025974025974;263.227954003383
17;15;23.4;28;0.515391908694564;-11.7279839783668;262.966736231355
17;16;23.2;26;0.467586798538973;-10.9228581567162;262.705518459327
17;17;22;26;0.39153985030195;-9.64208793185792;262.444300687299
17;18;20.4;30;0.292433537832311;-7.97295567804289;262.18308291527
17;19;18;37;0.177021792543943;-6.02920999999726;261.921865143242
17;20;15.9;48;0.0531697341513329;-3.94331395348843;261.660647371214
