age_d;age_h;pip;piv;pp;pv;sfstone;af;ctcs;pif;tf;cv;ua;ux1;up1;khx;khp;ux;up;masfls;pasfls;rM;rG;w;s;pf1;pf2;pf;v;dD;mSol;mSta;mSyn
3;23;13.791;13.791;9.8481;9.8481;0.0000;0.56068;0.00029171;12.620;0.00033965;0.018200;4.3637e-05;0.0000;0.0000;0.00016571;2.1811e-05;0.0012705;0.00016723;0.0000;-2.4237e-08;1.2656e-06;4.5372e-06;0.028591;0.013920;1.0102;7.0104;1.0102;0.037291;-27.548;0.00060050;0.00010076;0.0054675
3;24;13.791;13.791;9.8472;9.8472;0.0000;0.57085;0.00028624;12.486;0.00034203;0.018200;4.3741e-05;0.0000;0.0000;0.00016871;2.2207e-05;0.0012711;0.00016732;0.0000;-2.3969e-08;1.2529e-06;4.5498e-06;0.029692;0.013958;1.0083;6.8936;1.0083;0.038415;-28.052;0.00061194;0.00010071;0.0054721
4;1;13.788;13.788;9.8450;9.8450;0.0000;0.58145;0.00028063;12.341;0.00022312;0.018200;4.3846e-05;0.0000;0.0000;0.00017184;2.2619e-05;0.0012691;0.00016705;0.0000;-2.3673e-08;1.2166e-06;4.5649e-06;0.030850;0.013996;1.0126;7.3906;1.0126;0.039598;-28.542;0.00062333;0.00010067;0.0054767
4;2;13.786;13.786;9.8428;9.8428;0.0000;0.59276;0.00027460;12.187;0.00015231;0.018200;4.3951e-05;0.0000;0.0000;0.00017519;2.3059e-05;0.0012666;0.00016672;0.0000;-2.3324e-08;1.1814e-06;4.5799e-06;0.032101;0.014034;1.0140;7.6135;1.0140;0.040872;-29.010;0.00063468;0.00010063;0.0054815
4;3;13.788;13.788;9.8450;9.8450;0.0000;0.60465;0.00026838;12.052;6.2745e-05;0.018200;4.4056e-05;0.0000;0.0000;0.00017870;2.3522e-05;0.0012673;0.00016682;0.0000;-2.2939e-08;1.2232e-06;4.5867e-06;0.033430;0.014072;1.0163;7.9333;1.0163;0.042225;-29.479;0.00064599;0.00010059;0.0054863
4;4;13.788;13.788;9.8450;9.8450;0.0000;0.61692;0.00026219;11.905;3.9367e-05;0.018200;4.4161e-05;0.0000;0.0000;0.00018233;2.3999e-05;0.0012665;0.00016671;0.0000;-2.2538e-08;1.2266e-06;4.5977e-06;0.034816;0.014111;1.0152;7.9039;1.0152;0.043635;-29.958;0.00065725;0.00010055;0.0054912
4;5;13.788;13.788;9.8445;9.8445;0.0000;0.62928;0.00025629;11.763;1.4970e-05;0.018200;4.4266e-05;0.0000;0.0000;0.00018598;2.4480e-05;0.0012657;0.00016661;0.0000;-2.2148e-08;1.2220e-06;4.6095e-06;0.036225;0.014149;1.0141;7.8795;1.0141;0.045068;-30.435;0.00066846;0.00010052;0.0054961
4;6;13.785;13.785;9.8415;9.8415;0.0000;0.64171;0.00025067;11.616;-9.8117e-06;0.018200;4.4372e-05;0.0000;0.0000;0.00018965;2.4964e-05;0.0012630;0.00016624;0.0000;-2.1767e-08;1.1715e-06;4.6263e-06;0.037657;0.014187;1.0130;7.8465;1.0130;0.046524;-30.896;0.00067964;0.00010048;0.0055012
4;7;13.791;13.791;9.8472;9.8472;0.0000;0.65416;0.00024535;11.517;-1.0682e-05;0.018200;4.4478e-05;0.0000;0.0000;0.00019333;2.5448e-05;0.0012686;0.00016699;0.0000;-2.1400e-08;1.2769e-06;4.6264e-06;0.039103;0.014226;1.0113;7.7485;1.0113;0.047994;-31.369;0.00069077;0.00010046;0.0055063
4;8;13.802;13.802;9.8591;9.8591;0.0000;0.66368;0.00024242;11.502;0.00073367;0.018200;4.4584e-05;0.0000;0.0000;0.00019615;2.5818e-05;0.0012904;0.00016985;0.0000;-2.1270e-08;1.5227e-06;4.6114e-06;0.040210;0.014264;0.97970;4.3777;0.97970;0.049125;-31.925;0.00070183;0.00010043;0.0055115
4;9;16.780;16.780;10.750;10.750;0.0000;0.66765;0.00024340;11.543;0.00093592;0.060595;0.00010414;0.0000;0.0000;0.00019732;2.5973e-05;0.00089972;0.00011843;0.0000;1.4119e-08;1.6209e-06;1.0985e-05;0.040621;0.014332;0.95418;1.6126;0.95418;0.049579;-32.556;0.00071187;0.00010041;0.0055301
4;10;19.580;19.580;11.607;11.607;0.0000;0.66693;0.00024434;11.590;0.0014450;0.10010;0.00013525;0.0000;0.0000;0.00019711;2.5945e-05;0.00071298;9.3848e-05;0.0000;4.7158e-08;1.7637e-06;1.4307e-05;0.040428;0.014439;0.91647;0.0000;0.0000;0.049452;-33.231;0.00071122;0.00010038;0.0055756
4;11;22.017;22.017;12.375;12.375;0.0000;0.65983;0.00024649;11.673;0.0018023;0.13402;0.00015368;0.0000;0.0000;0.00019501;2.5668e-05;0.00039599;5.2123e-05;0.0000;7.4538e-08;1.9591e-06;1.6264e-05;0.039443;0.014567;0.88636;0.0000;0.0000;0.048547;-33.963;0.00070000;0.00010036;0.0056406
4;12;23.895;23.895;12.972;12.972;0.0000;0.64800;0.00025026;11.783;0.0019665;0.16005;0.00016515;0.0000;0.0000;0.00019151;2.5208e-05;0.00016468;2.1676e-05;0.0000;9.3903e-08;2.0957e-06;1.7480e-05;0.037885;0.014707;0.86645;0.0000;0.0000;0.047078;-34.744;0.00068264;0.00010033;0.0057173
4;13;25.040;25.040;13.312;13.312;0.0000;0.63453;0.00025486;11.886;0.0017755;0.17642;0.00017209;0.0000;0.0000;0.00018753;2.4684e-05;2.9653e-05;3.9032e-06;0.0000;1.0437e-07;2.0632e-06;1.8228e-05;0.036137;0.014856;0.86559;0.0000;0.0000;0.045422;-35.535;0.00066311;0.00010030;0.0057995
4;14;25.511;25.511;13.508;13.508;0.0000;0.61925;0.00026180;12.092;0.0022001;0.18200;0.00017548;0.0000;0.0000;0.00018301;2.4090e-05;1.6302e-05;2.1458e-06;0.0000;1.0524e-07;2.3249e-06;1.8564e-05;0.034188;0.015010;0.84183;0.0000;0.0000;0.043569;-36.354;0.00064444;0.00010027;0.0058828
4;15;25.036;25.036;13.308;13.308;0.0000;0.60415;0.00027049;12.263;0.0017830;0.17642;0.00017554;0.0000;0.0000;0.00017855;2.3503e-05;9.5595e-05;1.2583e-05;0.0000;9.7232e-08;2.0926e-06;1.8594e-05;0.032280;0.015164;0.86223;0.0000;0.0000;0.041758;-37.171;0.00062867;0.00010023;0.0059637
4;16;23.825;23.825;12.902;12.902;0.0000;0.59307;0.00027787;12.412;0.0015094;0.16005;0.00017178;0.0000;0.0000;0.00017528;2.3071e-05;0.00026108;3.4365e-05;0.0000;8.2228e-08;1.9445e-06;1.8205e-05;0.030853;0.015318;0.88273;0.0000;0.0000;0.040426;-37.923;0.00061726;0.00010019;0.0060398
4;17;21.982;21.982;12.340;12.340;0.0000;0.58576;0.00028438;12.565;0.0013505;0.13402;0.00016284;0.0000;0.0000;0.00017312;2.2787e-05;0.00050599;6.6602e-05;0.0000;6.1137e-08;1.9383e-06;1.7246e-05;0.029870;0.015466;0.90359;0.0000;0.0000;0.039537;-38.644;0.00061161;0.00010015;0.0061077
